year,sex,school_id,school_name,enrolment
1996,MF,8,National Institute of Education,2040.0
1997,F,8,National Institute of Education,1528.0
1997,MF,8,National Institute of Education,2169.0
1998,F,8,National Institute of Education,1572.0
1998,MF,8,National Institute of Education,2196.0
1999,F,8,National Institute of Education,2333.0
1999,MF,8,National Institute of Education,3299.0
2000,F,8,National Institute of Education,2247.0
2000,MF,8,National Institute of Education,3072.0
2001,F,8,National Institute of Education,2292.0
2001,MF,8,National Institute of Education,3095.0
2002,F,8,National Institute of Education,2455.0
2002,MF,8,National Institute of Education,3368.0
2003,F,8,National Institute of Education,2080.0
2003,MF,8,National Institute of Education,2953.0
2004,F,8,National Institute of Education,1550.0
2004,MF,8,National Institute of Education,2282.0
2005,F,8,National Institute of Education,1940.0
2005,MF,8,National Institute of Education,2881.0
2006,F,8,National Institute of Education,1998.0
2006,MF,8,National Institute of Education,2938.0
2007,F,8,National Institute of Education,1878.0
2007,MF,8,National Institute of Education,2725.0
2008,F,8,National Institute of Education,1758.0
2008,MF,8,National Institute of Education,2581.0
2009,F,8,National Institute of Education,1896.0
2009,MF,8,National Institute of Education,2804.0
2010,F,8,National Institute of Education,1886.0
2010,MF,8,National Institute of Education,2816.0
2011,F,8,National Institute of Education,1759.0
2011,MF,8,National Institute of Education,2579.0
2012,F,8,National Institute of Education,1624.0
2012,MF,8,National Institute of Education,2445.0
2013,F,8,National Institute of Education,1216.0
2013,MF,8,National Institute of Education,1838.0
2014,F,8,National Institute of Education,1313.0
2014,MF,8,National Institute of Education,1913.0
2015,F,8,National Institute of Education,1015.0
2015,MF,8,National Institute of Education,1549.0
2016,F,8,National Institute of Education,1010.0
2016,MF,8,National Institute of Education,1443.0
2017,F,8,National Institute of Education,804.0
2017,MF,8,National Institute of Education,1122.0
2018,F,8,National Institute of Education,924.0
2018,MF,8,National Institute of Education,1309.0
2019,F,8,National Institute of Education,948.0
2019,MF,8,National Institute of Education,1323.0
2020,F,8,National Institute of Education,852.0
2020,MF,8,National Institute of Education,1206.0
2021,F,8,National Institute of Education,781.0
2021,MF,8,National Institute of Education,1154.0
2022,F,8,National Institute of Education,908.0
2022,MF,8,National Institute of Education,1319.0
2023,F,8,National Institute of Education,988.0
2023,MF,8,National Institute of Education,1394.0
2024,F,8,National Institute of Education,1169.0
2024,MF,8,National Institute of Education,1635.0
1982,F,14,Singapore Polytechnic,1069.0
1982,MF,14,Singapore Polytechnic,5339.0
1983,F,14,Singapore Polytechnic,1318.0
1983,MF,14,Singapore Polytechnic,6136.0
1984,F,14,Singapore Polytechnic,1679.0
1984,MF,14,Singapore Polytechnic,7129.0
1985,F,14,Singapore Polytechnic,1924.0
1985,MF,14,Singapore Polytechnic,7894.0
1986,F,14,Singapore Polytechnic,2041.0
1986,MF,14,Singapore Polytechnic,8099.0
1987,F,14,Singapore Polytechnic,2514.0
1987,MF,14,Singapore Polytechnic,9193.0
1988,F,14,Singapore Polytechnic,2905.0
1988,MF,14,Singapore Polytechnic,9709.0
1989,F,14,Singapore Polytechnic,3459.0
1989,MF,14,Singapore Polytechnic,10620.0
1990,F,14,Singapore Polytechnic,3878.0
1990,MF,14,Singapore Polytechnic,11348.0
1991,F,14,Singapore Polytechnic,4498.0
1991,MF,14,Singapore Polytechnic,12327.0
1992,F,14,Singapore Polytechnic,5073.0
1992,MF,14,Singapore Polytechnic,13257.0
1993,F,14,Singapore Polytechnic,5297.0
1993,MF,14,Singapore Polytechnic,13578.0
1994,F,14,Singapore Polytechnic,5361.0
1994,MF,14,Singapore Polytechnic,13865.0
1995,F,14,Singapore Polytechnic,5202.0
1995,MF,14,Singapore Polytechnic,14019.0
