year,sex,school_id,school_name,graduates
1985,MF,10,Ngee Ann Polytechnic,1543.0
1986,F,10,Ngee Ann Polytechnic,765.0
1986,MF,10,Ngee Ann Polytechnic,1931.0
1987,F,10,Ngee Ann Polytechnic,944.0
1987,MF,10,Ngee Ann Polytechnic,2710.0
1988,F,10,Ngee Ann Polytechnic,1181.0
1988,MF,10,Ngee Ann Polytechnic,3059.0
1989,F,10,Ngee Ann Polytechnic,1082.0
1989,MF,10,Ngee Ann Polytechnic,2941.0
1990,F,10,Ngee Ann Polytechnic,1233.0
1990,MF,10,Ngee Ann Polytechnic,3087.0
1991,F,10,Ngee Ann Polytechnic,1307.0
1991,MF,10,Ngee Ann Polytechnic,3210.0
1992,F,10,Ngee Ann Polytechnic,1660.0
1992,MF,10,Ngee Ann Polytechnic,3765.0
1993,F,10,Ngee Ann Polytechnic,1757.0
1993,MF,10,Ngee Ann Polytechnic,3992.0
1994,F,10,Ngee Ann Polytechnic,1818.0
1994,MF,10,Ngee Ann Polytechnic,4004.0
1995,F,10,Ngee Ann Polytechnic,1750.0
1995,MF,10,Ngee Ann Polytechnic,4075.0
1996,F,10,Ngee Ann Polytechnic,1645.0
1996,MF,10,Ngee Ann Polytechnic,3855.0
1997,F,10,Ngee Ann Polytechnic,1869.0
1997,MF,10,Ngee Ann Polytechnic,4073.0
1998,F,10,Ngee Ann Polytechnic,1861.0
1998,MF,10,Ngee Ann Polytechnic,4363.0
1999,F,10,Ngee Ann Polytechnic,1915.0
1999,MF,10,Ngee Ann Polytechnic,4337.0
2000,F,10,Ngee Ann Polytechnic,1844.0
2000,MF,10,Ngee Ann Polytechnic,4187.0
2001,F,10,Ngee Ann Polytechnic,1823.0
2001,MF,10,Ngee Ann Polytechnic,4257.0
2002,F,10,Ngee Ann Polytechnic,2069.0
2002,MF,10,Ngee Ann Polytechnic,4399.0
2003,F,10,Ngee Ann Polytechnic,2056.0
2003,MF,10,Ngee Ann Polytechnic,4210.0
2004,F,10,Ngee Ann Polytechnic,2069.0
2004,MF,10,Ngee Ann Polytechnic,4289.0
2005,F,10,Ngee Ann Polytechnic,2068.0
2005,MF,10,Ngee Ann Polytechnic,4143.0
2006,F,10,Ngee Ann Polytechnic,1990.0
2006,MF,10,Ngee Ann Polytechnic,4084.0
2007,F,10,Ngee Ann Polytechnic,1911.0
2007,MF,10,Ngee Ann Polytechnic,4013.0
2008,F,10,Ngee Ann Polytechnic,2247.0
2008,MF,10,Ngee Ann Polytechnic,4504.0
2009,F,10,Ngee Ann Polytechnic,2186.0
2009,MF,10,Ngee Ann Polytechnic,4581.0
2010,F,10,Ngee Ann Polytechnic,2237.0
2010,MF,10,Ngee Ann Polytechnic,4534.0
2011,F,10,Ngee Ann Polytechnic,2437.0
2011,MF,10,Ngee Ann Polytechnic,4857.0
2012,F,10,Ngee Ann Polytechnic,2432.0
2012,MF,10,Ngee Ann Polytechnic,4955.0
2013,F,10,Ngee Ann Polytechnic,2420.0
2013,MF,10,Ngee Ann Polytechnic,4983.0
2014,F,10,Ngee Ann Polytechnic,2513.0
2014,MF,10,Ngee Ann Polytechnic,5166.0
2015,F,10,Ngee Ann Polytechnic,2568.0
2015,MF,10,Ngee Ann Polytechnic,5182.0
2016,F,10,Ngee Ann Polytechnic,2512.0
2016,MF,10,Ngee Ann Polytechnic,5258.0
2017,F,10,Ngee Ann Polytechnic,2400.0
2017,MF,10,Ngee Ann Polytechnic,4886.0
2018,F,10,Ngee Ann Polytechnic,2314.0
2018,MF,10,Ngee Ann Polytechnic,4687.0
2019,F,10,Ngee Ann Polytechnic,2265.0
2019,MF,10,Ngee Ann Polytechnic,4484.0
2020,F,10,Ngee Ann Polytechnic,2445.0
2020,MF,10,Ngee Ann Polytechnic,4583.0
2021,F,10,Ngee Ann Polytechnic,2460.0
2021,MF,10,Ngee Ann Polytechnic,4591.0
2022,F,10,Ngee Ann Polytechnic,2316.0
2022,MF,10,Ngee Ann Polytechnic,4362.0
2023,F,10,Ngee Ann Polytechnic,2276.0
2023,MF,10,Ngee Ann Polytechnic,4106.0
2024,F,10,Ngee Ann Polytechnic,2119.0
2024,MF,10,Ngee Ann Polytechnic,3812.0
1991,F,17,Temasek Polytechnic,54.0
1991,MF,17,Temasek Polytechnic,89.0
1992,F,17,Temasek Polytechnic,55.0
1992,MF,17,Temasek Polytechnic,87.0
1993,F,17,Temasek Polytechnic,444.0
1993,MF,17,Temasek Polytechnic,588.0
1994,F,17,Temasek Polytechnic,501.0
1994,MF,17,Temasek Polytechnic,796.0
1995,F,17,Temasek Polytechnic,538.0
1995,MF,17,Temasek Polytechnic,866.0
1996,F,17,Temasek Polytechnic,685.0
1996,MF,17,Temasek Polytechnic,1214.0
1997,F,17,Temasek Polytechnic,741.0
1997,MF,17,Temasek Polytechnic,1320.0
1998,F,17,Temasek Polytechnic,1290.0
1998,MF,17,Temasek Polytechnic,2208.0
1999,F,17,Temasek Polytechnic,1535.0
1999,MF,17,Temasek Polytechnic,2907.0
2000,F,17,Temasek Polytechnic,1776.0
2000,MF,17,Temasek Polytechnic,3336.0
2001,F,17,Temasek Polytechnic,1924.0
2001,MF,17,Temasek Polytechnic,3543.0
2002,F,17,Temasek Polytechnic,1930.0
2002,MF,17,Temasek Polytechnic,3690.0
2003,F,17,Temasek Polytechnic,1971.0
2003,MF,17,Temasek Polytechnic,3837.0
2004,F,17,Temasek Polytechnic,2072.0
2004,MF,17,Temasek Polytechnic,4102.0
2005,F,17,Temasek Polytechnic,1921.0
2005,MF,17,Temasek Polytechnic,3633.0
2006,F,17,Temasek Polytechnic,1860.0
2006,MF,17,Temasek Polytechnic,3718.0
2007,F,17,Temasek Polytechnic,2003.0
2007,MF,17,Temasek Polytechnic,3928.0
2008,F,17,Temasek Polytechnic,2399.0
2008,MF,17,Temasek Polytechnic,4565.0
2009,F,17,Temasek Polytechnic,2396.0
2009,MF,17,Temasek Polytechnic,4815.0
2010,F,17,Temasek Polytechnic,2429.0
2010,MF,17,Temasek Polytechnic,4848.0
2011,F,17,Temasek Polytechnic,2429.0
2011,MF,17,Temasek Polytechnic,5020.0
2012,F,17,Temasek Polytechnic,2545.0
2012,MF,17,Temasek Polytechnic,5133.0
2013,F,17,Temasek Polytechnic,2447.0
2013,MF,17,Temasek Polytechnic,4886.0
2014,F,17,Temasek Polytechnic,2559.0
2014,MF,17,Temasek Polytechnic,5116.0
2015,F,17,Temasek Polytechnic,2529.0
2015,MF,17,Temasek Polytechnic,5119.0
2016,F,17,Temasek Polytechnic,2495.0
2016,MF,17,Temasek Polytechnic,5064.0
2017,F,17,Temasek Polytechnic,2516.0
2017,MF,17,Temasek Polytechnic,5012.0
2018,F,17,Temasek Polytechnic,2290.0
2018,MF,17,Temasek Polytechnic,4556.0
2019,F,17,Temasek Polytechnic,2029.0
2019,MF,17,Temasek Polytechnic,4305.0
2020,F,17,Temasek Polytechnic,2190.0
2020,MF,17,Temasek Polytechnic,4610.0
2021,F,17,Temasek Polytechnic,2206.0
2021,MF,17,Temasek Polytechnic,4543.0
2022,F,17,Temasek Polytechnic,2134.0
2022,MF,17,Temasek Polytechnic,4382.0
2023,F,17,Temasek Polytechnic,1849.0
2023,MF,17,Temasek Polytechnic,4008.0
2024,F,17,Temasek Polytechnic,1812.0
2024,MF,17,Temasek Polytechnic,3880.0
1994,F,6,Nanyang Polytechnic,103.0
1994,MF,6,Nanyang Polytechnic,515.0
1995,F,6,Nanyang Polytechnic,591.0
1995,MF,6,Nanyang Polytechnic,966.0
1996,F,6,Nanyang Polytechnic,1077.0
1996,MF,6,Nanyang Polytechnic,1981.0
1997,F,6,Nanyang Polytechnic,1266.0
1997,MF,6,Nanyang Polytechnic,2222.0
1998,F,6,Nanyang Polytechnic,1297.0
1998,MF,6,Nanyang Polytechnic,2235.0
1999,F,6,Nanyang Polytechnic,1355.0
1999,MF,6,Nanyang Polytechnic,2416.0
2000,F,6,Nanyang Polytechnic,1471.0
2000,MF,6,Nanyang Polytechnic,2562.0
2001,F,6,Nanyang Polytechnic,1811.0
2001,MF,6,Nanyang Polytechnic,3178.0
2002,F,6,Nanyang Polytechnic,1874.0
2002,MF,6,Nanyang Polytechnic,3537.0
2003,F,6,Nanyang Polytechnic,1775.0
2003,MF,6,Nanyang Polytechnic,3376.0
2004,F,6,Nanyang Polytechnic,2104.0
